index,length_km,width_km,depth_km,dip,strike,lat,lon,ss_mm,ds_mm
27,4.5823,4,23.9887,90.27,-118.49,32.5465,105.3788,-1427.33,604.08
28,4.5953,4,27.9868,90.27,-116.64,32.5463,105.3789,-1421.87,600.68
29,4.5089,4,3.9979,88.13,-127.80,32.5232,105.3390,-1650.09,1137.31
30,4.5113,4,7.9921,88.13,-125.91,32.5242,105.3382,-1608.17,1036.03
31,4.5137,4,11.9881,88.13,-124.02,32.5251,105.3374,-1546.98,915.86
32,4.5162,4,15.9841,88.13,-122.13,32.5261,105.3367,-1495.57,803.17
33,4.5186,4,19.9802,88.13,-120.25,32.5271,105.3360,-1463.08,718.03
34,4.5211,4,23.9762,88.13,-118.36,32.5282,105.3353,-1450.72,669.68
35,4.5235,4,27.9722,88.13,-116.48,32.5292,105.3347,-1458.15,659.41
36,4.5104,4,3.9903,86.00,-127.78,32.4994,105.3001,-1772.98,1223.97
37,4.4811,4,7.9769,86.00,-125.91,32.5015,105.2984,-1629.38,1200.68
38,4.4498,4,11.9653,86.00,-124.04,32.5037,105.2969,-1538.82,1120.29
39,4.4163,4,15.9537,86.00,-122.15,32.5059,105.2955,-1504.59,989.19
40,4.3806,4,19.9421,86.00,-120.25,32.5081,105.2942,-1496.37,866.62
41,4.3427,4,23.9306,86.00,-118.35,32.5104,105.2930,-1502.36,782.02
42,4.3026,4,27.9190,86.00,-116.43,32.5127,105.2919,-1521.06,743.72
43,3.5213,4,3.9771,83.87,-119.29,32.4806,105.2643,-1862.52,1411.48
44,3.5038,4,7.9506,83.87,-116.84,32.4840,105.2621,-1687.05,1518.02
45,3.4852,4,11.9259,83.87,-114.38,32.4874,105.2601,-1615.02,1441.01
46,3.4655,4,15.9012,83.87,-111.90,32.4909,105.2583,-1596.55,1250.03
47,3.4450,4,19.8765,83.87,-109.40,32.4945,105.2567,-1596.60,1059.10
48,3.4235,4,23.8518,83.87,-106.89,32.4981,105.2552,-1604.56,917.45
49,3.4014,4,27.8271,83.87,-104.35,32.5018,105.2540,-1619.02,836.34
50,3.5231,4,3.9585,81.74,-119.29,32.4663,105.2308,-1965.96,1711.90
51,3.5260,4,7.9133,81.74,-116.90,32.4709,105.2280,-1843.57,1880.83
52,3.5291,4,11.8700,81.74,-114.51,32.4756,105.2254,-1784.39,1755.08
53,3.5326,4,15.8267,81.74,-112.12,32.4804,105.2231,-1755.52,1486.45
54,3.5365,4,19.7833,81.74,-109.73,32.4852,105.2211,-1739.18,1222.62
55,3.5408,4,23.7400,81.74,-107.35,32.4902,105.2193,-1731.90,1024.12
56,3.5458,4,27.6967,81.74,-104.97,32.4952,105.2177,-1734.72,903.54
57,3.5222,4,3.9344,79.61,-119.28,32.4519,105.1972,-2108.58,1843.69
58,3.5250,4,7.8651,79.61,-116.90,32.4577,105.1938,-2081.71,2048.32
59,3.5280,4,11.7977,79.61,-114.52,32.4636,105.1906,-2035.33,1907.66
60,3.5313,4,15.7302,79.61,-112.15,32.4696,105.1877,-1976.51,1603.57
61,3.5347,4,19.6628,79.61,-109.78,32.4757,105.1851,-1922.27,1301.55
62,3.5384,4,23.5953,79.61,-107.41,32.4819,105.1828,-1883.17,1069.96
63,3.5424,4,27.5279,79.61,-105.04,32.4882,105.1808,-1863.76,924.27
64,3.5241,4,3.9048,77.48,-119.28,32.4376,105.1637,-2272.24,1761.30
65,3.5267,4,7.8060,77.48,-116.92,32.4445,105.1596,-2334.55,1943.93
66,3.5305,4,11.7090,77.48,-114.57,32.4516,105.1557,-2306.09,1820.64
67,3.5359,4,15.6120,77.48,-112.21,32.4588,105.1522,-2216.79,1541.72
68,3.5433,4,19.5150,77.48,-109.87,32.4662,105.1490,-2119.17,1255.36
69,3.5530,4,23.4180,77.48,-107.53,32.4736,105.1462,-2041.41,1028.98
70,3.5654,4,27.3210,77.48,-105.19,32.4811,105.1438,-1994.00,882.13
71,3.5232,4,3.8698,75.34,-119.27,32.4232,105.1302,-2451.60,1510.42
72,3.5901,4,7.7361,75.34,-117.03,32.4312,105.1251,-2558.58,1614.38
73,3.6598,4,11.6042,75.34,-114.84,32.4393,105.1202,-2537.07,1521.08
74,3.7329,4,15.4722,75.34,-112.69,32.4475,105.1158,-2426.36,1308.68
75,3.8094,4,19.3403,75.34,-110.60,32.4559,105.1116,-2294.27,1081.71
76,3.8898,4,23.2083,75.34,-108.54,32.4644,105.1079,-2182.34,896.10
77,3.9744,4,27.0764,75.34,-106.54,32.4730,105.1045,-2108.86,773.04
78,3.9707,4,3.8295,73.21,-125.69,32.4056,105.0948,-2610.33,1188.70
79,4.0663,4,7.6555,73.21,-123.65,32.4142,105.0881,-2706.43,1188.76
80,4.1658,4,11.4832,73.21,-121.66,32.4231,105.0817,-2687.23,1105.67
81,4.2687,4,15.3110,73.21,-119.72,32.4322,105.0757,-2568.16,961.69
82,4.3747,4,19.1387,73.21,-117.83,32.4414,105.0701,-2417.30,811.23
83,4.4834,4,22.9664,73.21,-115.98,32.4507,105.0648,-2283.57,687.90
84,4.5946,4,26.7942,73.21,-114.17,32.4602,105.0599,-2193.19,607.87
85,4.3541,4,3.7839,71.08,-128.94,32.3835,105.0581,-2772.09,905.89
86,4.3886,4,7.5643,71.08,-127.10,32.3929,105.0499,-2823.72,808.31
87,4.4253,4,11.3464,71.08,-125.26,32.4025,105.0421,-2776.96,697.45
88,4.4636,4,15.1285,71.08,-123.45,32.4123,105.0346,-2646.13,594.04
89,4.5031,4,18.9107,71.08,-121.64,32.4223,105.0275,-2486.06,507.93
90,4.5433,4,22.6928,71.08,-119.85,32.4325,105.0208,-2342.13,445.57
91,4.5837,4,26.4749,71.08,-118.08,32.4429,105.0145,-2243.24,412.37
92,4.3534,4,3.7330,68.95,-128.93,32.3599,105.0211,-2908.18,708.37
93,4.3549,4,7.4626,68.95,-127.11,32.3702,105.0119,-2910.07,518.78
94,4.3571,4,11.1939,68.95,-125.29,32.3807,105.0030,-2823.25,374.74
95,4.3600,4,14.9252,68.95,-123.47,32.3915,104.9946,-2675.58,285.04
96,4.3632,4,18.6564,68.95,-121.65,32.4025,104.9866,-2508.14,234.70
97,4.3667,4,22.3877,68.95,-119.83,32.4137,104.9789,-2359.03,213.56
98,4.3703,4,26.1190,68.95,-118.01,32.4251,104.9717,-2256.17,216.16
99,4.3555,4,3.6770,66.82,-128.93,32.3362,104.9841,-2962.66,613.44
100,4.3640,4,7.3506,66.82,-127.14,32.3475,104.9740,-2930.26,365.43
101,4.3707,4,11.0258,66.82,-125.35,32.3590,104.9643,-2818.12,184.67
102,4.3758,4,14.7011,66.82,-123.56,32.3708,104.9550,-2658.37,75.87
103,4.3792,4,18.3764,66.82,-121.78,32.3828,104.9462,-2484.51,26.24
104,4.3809,4,22.0517,66.82,-119.99,32.3951,104.9378,-2332.28,20.08
105,4.3810,4,25.7270,66.82,-118.21,32.4076,104.9299,-2229.00,42.40
106,3.9707,4,3.6159,64.68,-129.39,32.3134,104.9488,-2933.81,683.11
107,3.9787,4,7.2284,64.68,-127.46,32.3257,104.9377,-2880.29,407.10
108,3.9852,4,10.8425,64.68,-125.53,32.3382,104.9272,-2763.30,159.94
109,3.9903,4,14.4567,64.68,-123.60,32.3510,104.9171,-2595.66,-10.86
110,3.9940,4,18.0709,64.68,-121.68,32.3641,104.9075,-2416.60,-97.45
111,3.9966,4,21.6851,64.68,-119.76,32.3774,104.8985,-2263.96,-116.35
112,3.9984,4,25.2993,64.68,-117.83,32.3910,104.8899,-2164.01,-92.67
113,3.9699,4,3.5497,62.55,-129.38,32.2917,104.9152,-2912.40,921.60
114,3.9713,4,7.0962,62.55,-127.48,32.3049,104.9033,-2824.26,620.77
115,3.9789,4,10.6442,62.55,-125.58,32.3183,104.8918,-2675.81,271.78
116,3.9935,4,14.1923,62.55,-123.70,32.3321,104.8809,-2489.81,4.68
117,4.0162,4,17.7404,62.55,-121.82,32.3461,104.8705,-2304.86,-147.43
118,4.0477,4,21.2885,62.55,-119.96,32.3604,104.8606,-2155.59,-199.35
119,4.0889,4,24.8366,62.55,-118.13,32.3750,104.8512,-2064.91,-185.86
120,3.9719,4,3.4787,60.42,-129.38,32.2700,104.8817,-2938.18,1286.47
121,4.1511,4,6.9541,60.42,-127.81,32.2834,104.8681,-2756.17,923.81
122,4.3326,4,10.4312,60.42,-126.30,32.2972,104.8550,-2535.50,481.06
123,4.5176,4,13.9083,60.42,-124.84,32.3113,104.8424,-2327.42,103.27
124,4.7071,4,17.3854,60.42,-123.44,32.3257,104.8302,-2145.70,-134.64
125,4.9024,4,20.8624,60.42,-122.09,32.3403,104.8184,-2011.27,-234.38
126,5.1042,4,24.3395,60.42,-120.78,32.3552,104.8071,-1942.31,-237.54
127,4.4786,4,3.4028,58.29,-139.14,32.2421,104.8462,-2959.37,1796.40
128,4.6474,4,6.8025,58.29,-137.41,32.2554,104.8304,-2591.42,1314.27
129,4.8315,4,10.2037,58.29,-135.75,32.2690,104.8150,-2307.38,779.31
130,5.0297,4,13.6050,58.29,-134.17,32.2829,104.7999,-2103.57,286.67
131,5.2410,4,17.0062,58.29,-132.67,32.2971,104.7852,-1952.61,-47.54
132,5.4642,4,20.4075,58.29,-131.23,32.3116,104.7709,-1856.13,-208.88
133,5.6985,4,23.8087,58.29,-129.87,32.3263,104.7569,-1825.43,-242.90
134,4.4793,4,3.3222,56.16,-139.13,32.2123,104.8141,-3054.20,2512.95
135,4.4791,4,6.7251,56.16,-138.33,32.2255,104.7966,-2542.51,1794.91
136,4.4960,4,10.0876,56.16,-137.54,32.2389,104.7794,-2212.17,1106.56
137,4.5288,4,13.4501,56.16,-136.75,32.2525,104.7626,-1992.55,523.39
138,4.5760,4,16.8127,56.16,-135.96,32.2664,104.7459,-1853.38,117.10
139,4.6363,4,20.1752,56.16,-135.17,32.2805,104.7296,-1780.64,-109.97
140,4.7085,4,23.5377,56.16,-134.39,32.2949,104.7135,-1764.83,-203.53
141,3.9238,4,3.0607,49.92,-137.41,32.1867,104.7821,-3049.35,3222.78
142,3.9234,4,6.1208,49.92,-137.42,32.2024,104.7620,-2478.67,2629.14
143,3.9229,4,9.1812,49.92,-137.42,32.2180,104.7418,-1880.72,2033.08
144,3.9224,4,12.2416,49.92,-137.42,32.2337,104.7217,-1396.17,1523.29
145,3.9218,4,15.3020,49.92,-137.43,32.2494,104.7015,-1076.98,1146.38
146,3.9212,4,18.3624,49.92,-137.43,32.2650,104.6813,-910.21,906.91
147,3.9205,4,21.4228,49.92,-137.43,32.2807,104.6612,-856.31,781.99
148,3.9252,4,3.0601,49.91,-137.42,32.1607,104.7539,-2814.59,2833.14
149,3.9241,4,6.1203,49.91,-137.42,32.1764,104.7338,-2328.55,2239.10
150,3.9231,4,9.1804,49.91,-137.42,32.1921,104.7136,-1778.24,1749.67
151,3.9219,4,12.2405,49.91,-137.42,32.2077,104.6935,-1339.27,1329.91
152,3.9207,4,15.3006,49.91,-137.42,32.2234,104.6733,-1055.10,1008.87
153,3.9195,4,18.3608,49.91,-137.42,32.2391,104.6531,-914.27,800.60
154,3.9182,4,21.4209,49.91,-137.42,32.2548,104.6330,-887.01,695.29
155,3.9249,4,3.0596,49.90,-137.40,32.1347,104.7257,-2551.20,2567.01
156,3.9238,4,6.1192,49.90,-137.40,32.1504,104.7056,-2110.76,2055.94
157,3.9228,4,9.1788,49.90,-137.40,32.1661,104.6854,-1717.60,1587.66
158,3.9218,4,12.2383,49.90,-137.40,32.1818,104.6653,-1389.62,1186.01
159,3.9207,4,15.2979,49.90,-137.40,32.1975,104.6451,-1153.85,882.51
160,3.9197,4,18.3575,49.90,-137.40,32.2131,104.6249,-1021.01,685.51
161,3.9186,4,21.4171,49.90,-137.41,32.2288,104.6048,-984.48,585.98
162,3.9262,4,3.0590,49.89,-137.40,32.1087,104.6975,-2565.03,2461.75
163,3.9252,4,6.1181,49.89,-137.40,32.1244,104.6774,-2200.99,2026.68
164,3.9248,4,9.1771,49.89,-137.40,32.1401,104.6572,-1870.78,1530.19
165,3.9251,4,12.2362,49.89,-137.40,32.1558,104.6371,-1586.28,1085.93
166,3.9261,4,15.2952,49.89,-137.41,32.1715,104.6169,-1357.57,756.55
167,3.9277,4,18.3543,49.89,-137.41,32.1872,104.5967,-1201.92,550.80
168,3.9298,4,21.4133,49.89,-137.41,32.2028,104.5766,-1130.26,453.88
169,3.9259,4,3.0585,49.87,-137.38,32.0828,104.6693,-2688.90,2414.34
170,3.9995,4,6.1170,49.87,-137.41,32.0982,104.6489,-2410.40,1997.29
171,4.0725,4,9.1755,49.87,-137.44,32.1136,104.6285,-2132.43,1471.69
172,4.1447,4,12.2340,49.87,-137.47,32.1291,104.6081,-1859.29,976.46
173,4.2163,4,15.2925,49.87,-137.50,32.1445,104.5876,-1606.44,609.33
174,4.2873,4,18.3510,49.87,-137.53,32.1599,104.5672,-1406.81,392.21
175,4.3577,4,21.4095,49.87,-137.55,32.1753,104.5468,-1289.03,306.46
176,3.7804,4,3.0580,49.86,-140.70,32.0556,104.6415,-2847.02,2414.24
177,3.8546,4,6.1159,49.86,-140.67,32.0706,104.6206,-2631.92,1987.39
178,3.9281,4,9.1739,49.86,-140.65,32.0855,104.5996,-2391.65,1421.46
179,4.0009,4,12.2318,49.86,-140.62,32.1005,104.5787,-2116.07,864.77
180,4.0730,4,15.2898,49.86,-140.59,32.1154,104.5578,-1828.90,458.93
181,4.1446,4,18.3478,49.86,-140.57,32.1304,104.5369,-1584.58,237.17
182,4.2156,4,21.4057,49.86,-140.55,32.1453,104.5160,-1426.53,171.40
183,3.7817,4,3.0574,49.85,-140.71,32.0293,104.6161,-3027.63,2471.10
184,3.7808,4,6.1148,49.85,-140.71,32.0440,104.5949,-2864.44,2006.49
185,3.7805,4,9.1723,49.85,-140.71,32.0587,104.5737,-2618.97,1378.14
186,3.7809,4,12.2297,49.85,-140.71,32.0734,104.5525,-2301.18,766.00
187,3.7820,4,15.2871,49.85,-140.71,32.0881,104.5313,-1969.53,338.20
188,3.7836,4,18.3445,49.85,-140.72,32.1028,104.5102,-1691.39,125.14
189,3.7858,4,21.4019,49.85,-140.72,32.1175,104.4890,-1512.84,83.40
190,3.7813,4,3.0569,49.84,-140.69,32.0030,104.5907,-3177.68,2575.91
191,3.7801,4,6.1138,49.84,-140.69,32.0177,104.5695,-3039.15,2053.63
192,3.7789,4,9.1706,49.84,-140.69,32.0324,104.5483,-2762.22,1346.86
193,3.7776,4,12.2275,49.84,-140.69,32.0471,104.5271,-2390.11,699.63
194,3.7764,4,15.2844,49.84,-140.69,32.0618,104.5060,-2017.83,273.36
195,3.7752,4,18.3413,49.84,-140.70,32.0765,104.4848,-1721.02,81.09
196,3.7740,4,21.3981,49.84,-140.70,32.0912,104.4636,-1540.99,65.83
197,3.7832,4,3.0563,49.83,-140.68,31.9767,104.5653,-3271.85,2741.27
198,3.7822,4,6.1127,49.83,-140.68,31.9914,104.5441,-3122.77,2156.02
199,3.7813,4,9.1690,49.83,-140.68,32.0061,104.5229,-2792.97,1375.95
200,3.7803,4,12.2253,49.83,-140.68,32.0208,104.5018,-2370.56,714.22
201,3.7793,4,15.2817,49.83,-140.69,32.0355,104.4806,-1976.59,306.98
202,3.7783,4,18.3380,49.83,-140.69,32.0502,104.4594,-1683.76,139.07
203,3.7774,4,21.3943,49.83,-140.69,32.0649,104.4382,-1522.22,143.37
204,3.7822,4,3.0558,49.81,-140.67,31.9504,104.5399,-3302.69,2979.43
205,3.7812,4,6.1116,49.81,-140.67,31.9651,104.5187,-3091.12,2339.36
206,3.7802,4,9.1674,49.81,-140.68,31.9798,104.4975,-2689.69,1513.00
207,3.7793,4,12.2232,49.81,-140.68,31.9945,104.4764,-2239.62,863.65
208,3.7783,4,15.2790,49.81,-140.68,32.0092,104.4552,-1860.60,480.34
209,3.7774,4,18.3347,49.81,-140.68,32.0239,104.4340,-1603.00,324.74
210,3.7764,4,21.3905,49.81,-140.68,32.0386,104.4128,-1480.89,329.36
211,3.7826,4,3.0552,49.80,-140.66,31.9241,104.5145,-3281.39,3286.91
212,3.7819,4,6.1105,49.80,-140.67,31.9388,104.4933,-2915.65,2645.35
213,3.7811,4,9.1657,49.80,-140.67,31.9535,104.4721,-2455.02,1830.95
214,3.7804,4,12.2210,49.80,-140.67,31.9682,104.4510,-2032.23,1204.81
215,3.7797,4,15.2762,49.80,-140.67,31.9829,104.4298,-1715.08,822.81
216,3.7790,4,18.3315,49.80,-140.67,31.9976,104.4086,-1521.70,645.81
217,3.7782,4,21.3867,49.80,-140.67,32.0124,104.3874,-1452.88,618.10
218,3.7839,4,3.0547,49.79,-140.67,31.8978,104.4891,-3338.99,3672.20
219,3.7829,4,6.1094,49.79,-140.67,31.9125,104.4679,-2803.46,3092.84
220,3.7820,4,9.1641,49.79,-140.67,31.9272,104.4467,-2276.57,2353.19
221,3.7810,4,12.2188,49.79,-140.67,31.9419,104.4256,-1884.45,1737.84
222,3.7800,4,15.2735,49.79,-140.67,31.9566,104.4044,-1634.16,1315.97
223,3.7791,4,18.3282,49.79,-140.67,31.9714,104.3832,-1503.28,1073.61
224,3.7781,4,21.3829,49.79,-140.68,31.9861,104.3621,-1478.89,977.16
225,3.7835,4,3.0542,49.78,-140.65,31.8715,104.4637,-3624.10,4157.16
226,3.7774,4,6.1083,49.78,-140.65,31.8862,104.4425,-2963.34,3602.91
227,3.7713,4,9.1625,49.78,-140.65,31.9009,104.4214,-2344.75,2942.05
228,3.7653,4,12.2166,49.78,-140.65,31.9157,104.4002,-1935.38,2343.43
229,3.7593,4,15.2708,49.78,-140.65,31.9304,104.3791,-1709.68,1864.43
230,3.7537,4,18.3250,49.78,-140.66,31.9452,104.3579,-1601.58,1531.68
231,3.7487,4,21.3791,49.78,-140.66,31.9599,104.3368,-1586.58,1346.33
232,4.1996,4,3.0536,49.77,-140.42,31.8438,104.4369,-4203.44,4775.00
233,4.1942,4,6.1072,49.77,-140.43,31.8586,104.4158,-3350.40,4088.58
234,4.2008,4,9.1609,49.77,-140.43,31.8733,104.3946,-2639.88,3442.75
235,4.2228,4,12.2145,49.77,-140.43,31.8880,104.3734,-2202.11,2861.61
236,4.2652,4,15.2681,49.77,-140.45,31.9026,104.3521,-1960.38,2331.07
237,4.3361,4,18.3217,49.77,-129.65,31.9171,104.3308,-1817.58,1915.74
238,4.4499,4,21.3753,49.77,-129.35,31.9315,104.3092,-1769.82,1652.21
239,4.2004,4,3.0531,49.75,-140.43,31.8147,104.4086,-4991.87,5596.42
240,3.8958,4,6.1062,49.75,-140.97,31.8303,104.3885,-3820.50,4394.59
241,3.5782,4,9.1592,49.75,-141.66,31.8458,104.3684,-3078.96,3688.54
242,3.2442,4,12.2123,49.75,-142.56,31.8611,104.3481,-2631.09,3114.12
243,2.8885,4,15.2654,49.75,-143.83,31.8763,104.3278,-2342.42,2564.45
244,3.0320,4,18.3185,49.75,-129.65,31.8970,104.3079,-2133.25,2118.13
245,2.8591,4,21.3715,49.75,-129.35,31.9119,104.2871,-2018.22,1827.85
246,3.7265,4,3.0525,49.74,-126.81,31.7939,104.3833,-4437.94,4609.13
247,3.4212,4,6.1051,49.74,-126.20,31.8117,104.3660,-3846.31,4016.88
248,3.1047,4,9.1576,49.74,-125.41,31.8296,104.3488,-3350.07,3546.41
249,2.7741,4,12.2101,49.74,-124.35,31.8476,104.3318,-2972.06,3059.13
250,2.4254,4,15.2627,49.74,-122.84,31.8657,104.3152,-2661.29,2549.33
251,3.0323,4,18.3152,49.74,-129.64,31.8797,104.2832,-2417.59,2126.26
252,2.8594,4,21.3677,49.74,-129.34,31.8956,104.2637,-2244.52,1859.10
253,3.7263,4,3.0520,49.73,-126.79,31.7738,104.3518,-4060.60,3938.47
254,3.7251,4,6.1040,49.73,-126.79,31.7925,104.3354,-3830.42,3574.42
255,3.7377,4,9.1560,49.73,-126.79,31.8111,104.3191,-3561.06,3228.79
256,3.7680,4,12.2080,49.73,-126.78,31.8298,104.3028,-3253.11,2803.34
257,3.8222,4,15.2599,49.73,-126.76,31.8486,104.2867,-2919.29,2341.85
258,3.0326,4,18.3119,49.73,-129.64,31.8623,104.2585,-2618.57,1972.76
259,2.8597,4,21.3639,49.73,-129.32,31.8793,104.2403,-2400.38,1767.63
260,3.7283,4,3.0514,49.72,-126.79,31.7538,104.3202,-3733.45,3460.58
261,3.7273,4,6.1029,49.72,-126.79,31.7724,104.3038,-3692.33,3156.05
262,3.7262,4,9.1543,49.72,-126.79,31.7910,104.2874,-3567.80,2802.25
263,3.7252,4,12.2058,49.72,-126.79,31.8097,104.2711,-3316.84,2383.54
264,3.7244,4,15.2572,49.72,-126.79,31.8283,104.2547,-2989.08,1985.01
265,3.0330,4,18.3087,49.72,-126.79,31.8449,104.2338,-2674.18,1717.62
266,2.8923,4,21.3601,49.72,-126.78,31.8629,104.2167,-2450.23,1601.82
267,3.7274,4,3.0509,49.71,-126.78,31.7337,104.2887,-3399.84,3140.20
268,3.7265,4,6.1018,49.71,-126.78,31.7523,104.2723,-3401.95,2829.63
269,3.7257,4,9.1527,49.71,-126.78,31.7710,104.2559,-3324.73,2413.22
270,3.7249,4,12.2036,49.71,-126.78,31.7896,104.2395,-3117.87,1976.21
271,3.7241,4,15.2545,49.71,-126.78,31.8082,104.2231,-2839.45,1633.27
272,3.7233,4,18.3054,49.71,-126.77,31.8269,104.2067,-2576.48,1453.72
273,3.7224,4,21.3563,49.71,-126.77,31.8455,104.1903,-2391.63,1425.28
274,3.7286,4,3.0504,49.69,-126.79,31.7136,104.2571,-3065.98,2955.58
275,3.7275,4,6.1007,49.69,-126.79,31.7323,104.2407,-3017.10,2632.17
276,3.7265,4,9.1511,49.69,-126.79,31.7509,104.2243,-2917.39,2168.86
277,3.7255,4,12.2014,49.69,-126.78,31.7695,104.2079,-2744.09,1723.06
278,3.7245,4,15.2518,49.69,-126.78,31.7882,104.1915,-2540.51,1419.21
279,3.7235,4,18.3021,49.69,-126.78,31.8068,104.1752,-2363.40,1295.72
280,3.7224,4,21.3525,49.69,-126.78,31.8255,104.1588,-2252.62,1316.74
281,3.7284,4,3.0498,49.68,-126.77,31.6936,104.2255,-2777.98,2888.43
282,3.7272,4,6.0996,49.68,-126.77,31.7122,104.2092,-2645.92,2574.56
283,3.7260,4,9.1494,49.68,-126.77,31.7309,104.1928,-2501.12,2116.40
284,3.7248,4,12.1993,49.68,-126.76,31.7495,104.1764,-2352.38,1680.81
285,3.7235,4,15.2491,49.68,-126.76,31.7681,104.1600,-2218.90,1394.35
286,3.7223,4,18.2989,49.68,-126.76,31.7868,104.1436,-2125.36,1284.74
287,3.7211,4,21.3487,49.68,-126.76,31.8054,104.1272,-2088.80,1309.23
288,3.7303,4,3.0493,49.67,-126.77,31.6735,104.1940,-2586.89,2912.69
289,3.7293,4,6.0985,49.67,-126.77,31.6922,104.1776,-2406.89,2629.57
290,3.7283,4,9.1478,49.67,-126.77,31.7108,104.1612,-2223.95,2214.92
291,3.7278,4,12.1971,49.67,-126.76,31.7295,104.1448,-2078.12,1806.89
292,3.7291,4,15.2463,49.67,-126.76,31.7481,104.1284,-1983.67,1524.69
293,3.7335,4,18.2956,49.67,-126.76,31.7667,104.1120,-1943.05,1398.87
294,3.7426,4,21.3449,49.67,-126.76,31.7854,104.0956,-1955.33,1394.08
295,3.7294,4,3.0487,49.66,-126.76,31.6534,104.1624,-2499.76,2984.46
296,3.7286,4,6.0975,49.66,-126.76,31.6721,104.1460,-2309.59,2742.41
297,3.7904,4,9.1462,49.66,-126.78,31.6906,104.1294,-2112.28,2380.82
298,3.9060,4,12.1949,49.66,-126.85,31.7089,104.1125,-1962.80,2010.99
299,4.0683,4,15.2436,49.66,-126.99,31.7270,104.0954,-1879.40,1731.70
300,4.2710,4,18.2924,49.66,-127.20,31.7450,104.0781,-1856.90,1579.56
301,4.5092,4,21.3411,49.66,-127.46,31.7628,104.0605,-1886.42,1534.87
302,3.7306,4,3.0482,49.64,-126.76,31.6334,104.1308,-2487.78,3053.80
303,4.0654,4,6.2487,49.64,-129.53,31.6497,104.1127,-2310.61,2863.37
304,4.4245,4,9.3730,49.64,-131.92,31.6657,104.0941,-2123.86,2553.67
305,4.8083,4,12.4973,49.64,-133.99,31.6814,104.0751,-1984.73,2221.23
306,5.2163,4,15.6217,49.64,-135.80,31.6968,104.0558,-1907.62,1947.88
307,5.6481,4,18.7460,49.64,-137.39,31.7119,104.0363,-1883.74,1773.48
308,6.1034,4,21.8703,49.64,-138.80,31.7267,104.0164,-1899.68,1691.82
309,7.2189,4,3.2761,54.99,-143.51,31.5908,104.0893,-2521.42,3097.34
310,7.3690,4,6.3928,54.99,-144.34,31.6052,104.0711,-2367.57,2965.66
311,7.4575,4,9.5891,54.99,-145.29,31.6193,104.0526,-2209.16,2703.90
312,7.4914,4,12.7855,54.99,-146.34,31.6331,104.0337,-2093.28,2400.16
313,7.4765,4,15.9819,54.99,-147.48,31.6465,104.0146,-2019.34,2129.58
314,7.4170,4,19.1783,54.99,-148.71,31.6597,103.9951,-1978.55,1938.07
315,7.3160,4,22.3746,54.99,-150.06,31.6725,103.9755,-1960.27,1827.31
316,4.2855,4,3.2649,54.71,-132.39,31.5548,104.0530,-2563.47,2980.46
317,4.2999,4,6.5297,54.71,-132.22,31.5687,104.0350,-2448.45,2885.40
318,4.2904,4,9.7945,54.71,-131.99,31.5825,104.0170,-2320.82,2691.63
319,4.2555,4,13.0594,54.71,-131.68,31.5964,103.9990,-2207.97,2432.73
